symbol,period,horizon,high_ofi_ret,low_ofi_ret,spread,high_ofi_tstat,low_ofi_tstat,high_ofi_N,low_ofi_N
ETHUSD,1D,10,0.0588552461999926,0.003853895410868,0.055001350789124596,5.805451365249669,0.3650073850192667,252,252
ETHUSD,1D,5,0.0275336063330567,-0.0007067684508231,0.0282403747838798,4.172749233654548,-0.1045436075523761,252,252
ETHUSD,8H,10,0.0157983995355285,0.0061811604079216,0.0096172391276069,6.126450992169062,2.256179103881922,763,763
BTCUSD,8H,10,0.0154140085663278,0.0079911520851268,0.007422856481201001,6.865943797547619,3.4927872833473246,812,812
BTCUSD,8H,5,0.0075971553388974,0.0012442607604446,0.0063528945784528,4.940894046444489,0.843886062375098,812,812
BTCUSD,4H,10,0.0077086093180671,0.0017241405351332,0.005984468782933901,6.813104776419143,1.5833133018379897,1620,1620
ETHUSD,1D,2,0.0109450551234376,0.0052550186682992,0.005690036455138401,3.1370101243145183,1.3027498491863414,252,252
ETHUSD,8H,5,0.0083838812511936,0.0030872164858895,0.0052966647653041,5.109953663558396,1.5669942923409812,763,763
ETHUSD,4H,10,0.0067669455846277,0.0020265767533016,0.0047403688313261,5.329544815968066,1.3725285448136983,1528,1523
BTCUSD,4H,5,0.0039613354702357,-0.000257489273315,0.0042188247435507,5.101260203935337,-0.3222360870208507,1620,1620
BTCUSD,8H,2,0.0033907567350468,-0.0007693725458811,0.0041601292809279,3.4911378102780084,-0.7156833228600501,812,812
BTCUSD,2H,10,0.0032242186998577,-0.0004200999687635,0.0036443186686212,5.600126148658079,-0.71430405205985,3228,3229
ETHUSD,4H,5,0.0031675055439615,0.0006845114335249,0.0024829941104366,3.489732454169154,0.6275363073108263,1528,1526
BTCUSD,1H,10,0.0017803924144733,0.0002964691782381,0.0014839232362352,6.1949359408951645,1.0176506842999349,6436,6436
BTCUSD,4H,2,0.001506318190757,0.0001073370556101,0.0013989811351469,3.1391776627572106,0.2167919596783353,1620,1620
ETHUSD,8H,2,0.0030576977420495,0.0018413594333157,0.0012163383087337998,2.9630722296968224,1.467841598518325,763,763
BTCUSD,2H,5,0.0011137322547265,1.25295648288599e-05,0.00110120268989764,2.707391703965039,0.030087346605478,3229,3229
BTCUSD,30min,10,0.0007469714135563,-1.3656275698223572e-05,0.0007606276892545236,5.012580440071867,-0.0902811982776466,12881,12881
ETHUSD,2H,10,0.0017380511695023,0.0011738779002853,0.0005641732692170001,2.5226386088961195,1.523970978389102,3050,3048
BTCUSD,30min,5,0.0004499022847626,-3.188073520294683e-06,0.0004530903582828947,4.077895548954297,-0.0286109854471827,12881,12881
BTCUSD,1H,5,0.0006012270645967,0.0001505854279107,0.00045064163668600003,2.8781851880692964,0.6944423994481749,6436,6436
BTCUSD,30min,2,0.0002534242095767,-0.0001062581956957,0.0003596824052724,3.582494198188852,-1.435847320983552,12881,12881
BTCUSD,15min,10,0.0004356131691186,9.434004715314494e-05,0.00034127312196545505,5.694673744462838,1.1738387112434654,25768,25768
BTCUSD,15min,5,0.0002766461066125,2.9213562819877752e-05,0.0002474325437926222,4.905773772227719,0.4967342576629606,25768,25768
BTCUSD,2H,2,0.0002453184386739,1.3273441503878392e-05,0.00023204499717002162,0.9527255780606568,0.0458756046268694,3229,3229
ETHUSD,5min,2,0.0001196845397101,-2.9580145576527e-05,0.000149264685286627,7.895804848333487,-1.905010658349933,73058,73058
BTCUSD,1H,2,0.0001995940998373,6.620532394307436e-05,0.00013338877589422565,1.4434388113035774,0.4567627351309749,6436,6436
BTCUSD,5min,2,8.567958340289944e-05,-2.843931593927776e-05,0.0001141188993421772,6.829817120795372,-2.246820313458257,77222,77222
BTCUSD,5min,10,0.0001437079694506,3.162469614461195e-05,0.00011208327330598806,5.3315671515057845,1.1630239967743363,77222,77222
ETHUSD,4H,2,0.0008086564214288,0.0006992852225599,0.0001093711988689,1.4213200132434285,1.022449679189211,1528,1527
BTCUSD,1D,5,0.0098763890907903,0.0097791559237772,9.723316701309992e-05,2.655788536676164,1.8774163988980703,269,270
ETHUSD,5min,5,0.0001326189683988,5.041883382377823e-05,8.220013457502176e-05,5.545429811591687,2.0469233415202086,73058,73057
BTCUSD,5min,5,7.955595491393798e-05,-2.432127654927682e-06,8.198808256886566e-05,4.163698453653911,-0.1244502794622293,77222,77222
ETHUSD,5min,10,0.0002093606744804,0.0001313754276104,7.798524687000001e-05,6.20066080691719,3.8253826127468313,73058,73057
BTCUSD,15min,2,0.0001293014567235,5.300660609780733e-05,7.629485062569266e-05,3.455595643802216,1.3700168701489377,25768,25768
ETHUSD,30min,2,0.0001512479386535,0.0001305718323167,2.0676106336800005e-05,1.7977289536990984,1.376706614539543,12185,12185
ETHUSD,15min,2,0.0001034440022943,9.874263600396584e-05,4.701366290334159e-06,2.350013190294645,2.0936223813785606,24378,24378
