symbol,bar_size,batch,start_date,end_date,n_ticks,n_bars,file
ETHUSD,5min,2017-2018,2017-01-01,2018-12-31,9262034,78079,ETHUSD_5min_2017-2018_bars_with_ofi.csv
ETHUSD,15min,2017-2018,2017-01-01,2018-12-31,9262034,26046,ETHUSD_15min_2017-2018_bars_with_ofi.csv
ETHUSD,30min,2017-2018,2017-01-01,2018-12-31,9262034,13027,ETHUSD_30min_2017-2018_bars_with_ofi.csv
ETHUSD,1H,2017-2018,2017-01-01,2018-12-31,9262034,6516,ETHUSD_1H_2017-2018_bars_with_ofi.csv
ETHUSD,2H,2017-2018,2017-01-01,2018-12-31,9262034,3285,ETHUSD_2H_2017-2018_bars_with_ofi.csv
ETHUSD,4H,2017-2018,2017-01-01,2018-12-31,9262034,1688,ETHUSD_4H_2017-2018_bars_with_ofi.csv
ETHUSD,8H,2017-2018,2017-01-01,2018-12-31,9262034,871,ETHUSD_8H_2017-2018_bars_with_ofi.csv
ETHUSD,1D,2017-2018,2017-01-01,2018-12-31,9262034,325,ETHUSD_1D_2017-2018_bars_with_ofi.csv
ETHUSD,5min,2019-2020,2019-01-01,2020-12-31,15374155,159302,ETHUSD_5min_2019-2020_bars_with_ofi.csv
ETHUSD,15min,2019-2020,2019-01-01,2020-12-31,15374155,53144,ETHUSD_15min_2019-2020_bars_with_ofi.csv
ETHUSD,30min,2019-2020,2019-01-01,2020-12-31,15374155,26576,ETHUSD_30min_2019-2020_bars_with_ofi.csv
ETHUSD,1H,2019-2020,2019-01-01,2020-12-31,15374155,13291,ETHUSD_1H_2019-2020_bars_with_ofi.csv
ETHUSD,2H,2019-2020,2019-01-01,2020-12-31,15374155,6722,ETHUSD_2H_2019-2020_bars_with_ofi.csv
ETHUSD,4H,2019-2020,2019-01-01,2020-12-31,15374155,3412,ETHUSD_4H_2019-2020_bars_with_ofi.csv
ETHUSD,8H,2019-2020,2019-01-01,2020-12-31,15374155,1755,ETHUSD_8H_2019-2020_bars_with_ofi.csv
ETHUSD,1D,2019-2020,2019-01-01,2020-12-31,15374155,644,ETHUSD_1D_2019-2020_bars_with_ofi.csv
ETHUSD,5min,2021-2022,2021-01-01,2022-12-31,106038237,205260,ETHUSD_5min_2021-2022_bars_with_ofi.csv
ETHUSD,15min,2021-2022,2021-01-01,2022-12-31,106038237,68533,ETHUSD_15min_2021-2022_bars_with_ofi.csv
ETHUSD,30min,2021-2022,2021-01-01,2022-12-31,106038237,34301,ETHUSD_30min_2021-2022_bars_with_ofi.csv
ETHUSD,1H,2021-2022,2021-01-01,2022-12-31,106038237,17183,ETHUSD_1H_2021-2022_bars_with_ofi.csv
ETHUSD,2H,2021-2022,2021-01-01,2022-12-31,106038237,8629,ETHUSD_2H_2021-2022_bars_with_ofi.csv
ETHUSD,4H,2021-2022,2021-01-01,2022-12-31,106038237,4331,ETHUSD_4H_2021-2022_bars_with_ofi.csv
ETHUSD,8H,2021-2022,2021-01-01,2022-12-31,106038237,2175,ETHUSD_8H_2021-2022_bars_with_ofi.csv
ETHUSD,1D,2021-2022,2021-01-01,2022-12-31,106038237,730,ETHUSD_1D_2021-2022_bars_with_ofi.csv
ETHUSD,5min,2023-2024,2023-01-01,2024-12-31,59475407,207606,ETHUSD_5min_2023-2024_bars_with_ofi.csv
ETHUSD,15min,2023-2024,2023-01-01,2024-12-31,59475407,69410,ETHUSD_15min_2023-2024_bars_with_ofi.csv
ETHUSD,30min,2023-2024,2023-01-01,2024-12-31,59475407,34719,ETHUSD_30min_2023-2024_bars_with_ofi.csv
ETHUSD,1H,2023-2024,2023-01-01,2024-12-31,59475407,17368,ETHUSD_1H_2023-2024_bars_with_ofi.csv
ETHUSD,2H,2023-2024,2023-01-01,2024-12-31,59475407,8699,ETHUSD_2H_2023-2024_bars_with_ofi.csv
ETHUSD,4H,2023-2024,2023-01-01,2024-12-31,59475407,4357,ETHUSD_4H_2023-2024_bars_with_ofi.csv
ETHUSD,8H,2023-2024,2023-01-01,2024-12-31,59475407,2183,ETHUSD_8H_2023-2024_bars_with_ofi.csv
ETHUSD,1D,2023-2024,2023-01-01,2024-12-31,59475407,731,ETHUSD_1D_2023-2024_bars_with_ofi.csv
ETHUSD,5min,2025,2025-01-01,2025-12-31,28024377,80525,ETHUSD_5min_2025_bars_with_ofi.csv
ETHUSD,15min,2025,2025-01-01,2025-12-31,28024377,26844,ETHUSD_15min_2025_bars_with_ofi.csv
ETHUSD,30min,2025,2025-01-01,2025-12-31,28024377,13422,ETHUSD_30min_2025_bars_with_ofi.csv
ETHUSD,1H,2025,2025-01-01,2025-12-31,28024377,6711,ETHUSD_1H_2025_bars_with_ofi.csv
ETHUSD,2H,2025,2025-01-01,2025-12-31,28024377,3363,ETHUSD_2H_2025_bars_with_ofi.csv
ETHUSD,4H,2025,2025-01-01,2025-12-31,28024377,1682,ETHUSD_4H_2025_bars_with_ofi.csv
ETHUSD,8H,2025,2025-01-01,2025-12-31,28024377,842,ETHUSD_8H_2025_bars_with_ofi.csv
ETHUSD,1D,2025,2025-01-01,2025-12-31,28024377,281,ETHUSD_1D_2025_bars_with_ofi.csv
