symbol,bar_size,batch,start_date,end_date,n_ticks,n_bars,file
EURUSD,5min,2010-2012,2010-01-01,2012-12-31,56136168,219917,EURUSD_5min_2010-2012_bars_with_ofi.csv
EURUSD,15min,2010-2012,2010-01-01,2012-12-31,56136168,73309,EURUSD_15min_2010-2012_bars_with_ofi.csv
EURUSD,30min,2010-2012,2010-01-01,2012-12-31,56136168,36655,EURUSD_30min_2010-2012_bars_with_ofi.csv
EURUSD,1H,2010-2012,2010-01-01,2012-12-31,56136168,18328,EURUSD_1H_2010-2012_bars_with_ofi.csv
EURUSD,2H,2010-2012,2010-01-01,2012-12-31,56136168,9284,EURUSD_2H_2010-2012_bars_with_ofi.csv
EURUSD,4H,2010-2012,2010-01-01,2012-12-31,56136168,4750,EURUSD_4H_2010-2012_bars_with_ofi.csv
EURUSD,8H,2010-2012,2010-01-01,2012-12-31,56136168,2453,EURUSD_8H_2010-2012_bars_with_ofi.csv
EURUSD,1D,2010-2012,2010-01-01,2012-12-31,56136168,921,EURUSD_1D_2010-2012_bars_with_ofi.csv
EURUSD,5min,2013-2015,2013-01-01,2015-12-31,58893423,220410,EURUSD_5min_2013-2015_bars_with_ofi.csv
EURUSD,15min,2013-2015,2013-01-01,2015-12-31,58893423,73479,EURUSD_15min_2013-2015_bars_with_ofi.csv
EURUSD,30min,2013-2015,2013-01-01,2015-12-31,58893423,36742,EURUSD_30min_2013-2015_bars_with_ofi.csv
EURUSD,1H,2013-2015,2013-01-01,2015-12-31,58893423,18373,EURUSD_1H_2013-2015_bars_with_ofi.csv
EURUSD,2H,2013-2015,2013-01-01,2015-12-31,58893423,9286,EURUSD_2H_2013-2015_bars_with_ofi.csv
EURUSD,4H,2013-2015,2013-01-01,2015-12-31,58893423,4748,EURUSD_4H_2013-2015_bars_with_ofi.csv
EURUSD,8H,2013-2015,2013-01-01,2015-12-31,58893423,2453,EURUSD_8H_2013-2015_bars_with_ofi.csv
EURUSD,1D,2013-2015,2013-01-01,2015-12-31,58893423,922,EURUSD_1D_2013-2015_bars_with_ofi.csv
EURUSD,5min,2016-2018,2016-01-01,2018-12-31,91130559,219712,EURUSD_5min_2016-2018_bars_with_ofi.csv
EURUSD,15min,2016-2018,2016-01-01,2018-12-31,91130559,73239,EURUSD_15min_2016-2018_bars_with_ofi.csv
EURUSD,30min,2016-2018,2016-01-01,2018-12-31,91130559,36620,EURUSD_30min_2016-2018_bars_with_ofi.csv
EURUSD,1H,2016-2018,2016-01-01,2018-12-31,91130559,18311,EURUSD_1H_2016-2018_bars_with_ofi.csv
EURUSD,2H,2016-2018,2016-01-01,2018-12-31,91130559,9257,EURUSD_2H_2016-2018_bars_with_ofi.csv
EURUSD,4H,2016-2018,2016-01-01,2018-12-31,91130559,4734,EURUSD_4H_2016-2018_bars_with_ofi.csv
