symbol,bar_size,batch,start_date,end_date,n_ticks,n_bars,file
XAGUSD,5min,2010-2012,2010-01-01,2012-12-31,24307105,194726,XAGUSD_5min_2010-2012_bars_with_ofi.csv
XAGUSD,15min,2010-2012,2010-01-01,2012-12-31,24307105,65285,XAGUSD_15min_2010-2012_bars_with_ofi.csv
XAGUSD,30min,2010-2012,2010-01-01,2012-12-31,24307105,32785,XAGUSD_30min_2010-2012_bars_with_ofi.csv
XAGUSD,1H,2010-2012,2010-01-01,2012-12-31,24307105,16534,XAGUSD_1H_2010-2012_bars_with_ofi.csv
XAGUSD,2H,2010-2012,2010-01-01,2012-12-31,24307105,8442,XAGUSD_2H_2010-2012_bars_with_ofi.csv
XAGUSD,4H,2010-2012,2010-01-01,2012-12-31,24307105,4370,XAGUSD_4H_2010-2012_bars_with_ofi.csv
XAGUSD,8H,2010-2012,2010-01-01,2012-12-31,24307105,2269,XAGUSD_8H_2010-2012_bars_with_ofi.csv
XAGUSD,1D,2010-2012,2010-01-01,2012-12-31,24307105,862,XAGUSD_1D_2010-2012_bars_with_ofi.csv
XAGUSD,5min,2013-2015,2013-01-01,2015-12-31,24231447,211813,XAGUSD_5min_2013-2015_bars_with_ofi.csv
XAGUSD,15min,2013-2015,2013-01-01,2015-12-31,24231447,70853,XAGUSD_15min_2013-2015_bars_with_ofi.csv
XAGUSD,30min,2013-2015,2013-01-01,2015-12-31,24231447,35576,XAGUSD_30min_2013-2015_bars_with_ofi.csv
XAGUSD,1H,2013-2015,2013-01-01,2015-12-31,24231447,17932,XAGUSD_1H_2013-2015_bars_with_ofi.csv
XAGUSD,2H,2013-2015,2013-01-01,2015-12-31,24231447,9241,XAGUSD_2H_2013-2015_bars_with_ofi.csv
XAGUSD,4H,2013-2015,2013-01-01,2015-12-31,24231447,4794,XAGUSD_4H_2013-2015_bars_with_ofi.csv
XAGUSD,8H,2013-2015,2013-01-01,2015-12-31,24231447,2480,XAGUSD_8H_2013-2015_bars_with_ofi.csv
XAGUSD,1D,2013-2015,2013-01-01,2015-12-31,24231447,932,XAGUSD_1D_2013-2015_bars_with_ofi.csv
XAGUSD,5min,2016-2018,2016-01-01,2018-12-31,19280106,211567,XAGUSD_5min_2016-2018_bars_with_ofi.csv
XAGUSD,15min,2016-2018,2016-01-01,2018-12-31,19280106,70729,XAGUSD_15min_2016-2018_bars_with_ofi.csv
XAGUSD,30min,2016-2018,2016-01-01,2018-12-31,19280106,35378,XAGUSD_30min_2016-2018_bars_with_ofi.csv
XAGUSD,1H,2016-2018,2016-01-01,2018-12-31,19280106,17696,XAGUSD_1H_2016-2018_bars_with_ofi.csv
XAGUSD,2H,2016-2018,2016-01-01,2018-12-31,19280106,9239,XAGUSD_2H_2016-2018_bars_with_ofi.csv
XAGUSD,4H,2016-2018,2016-01-01,2018-12-31,19280106,4792,XAGUSD_4H_2016-2018_bars_with_ofi.csv
XAGUSD,8H,2016-2018,2016-01-01,2018-12-31,19280106,2477,XAGUSD_8H_2016-2018_bars_with_ofi.csv
