symbol,batch,bar_size,num_ticks,num_bars,file
USDJPY,2022,5min,39593910,74849,USDJPY_5min_2022_bars_with_ofi.csv
USDJPY,2022,15min,39593910,24958,USDJPY_15min_2022_bars_with_ofi.csv
USDJPY,2022,30min,39593910,12479,USDJPY_30min_2022_bars_with_ofi.csv
USDJPY,2022,1H,39593910,6240,USDJPY_1H_2022_bars_with_ofi.csv
USDJPY,2022,2H,39593910,3154,USDJPY_2H_2022_bars_with_ofi.csv
USDJPY,2022,4H,39593910,1612,USDJPY_4H_2022_bars_with_ofi.csv
USDJPY,2022,8H,39593910,832,USDJPY_8H_2022_bars_with_ofi.csv
USDJPY,2022,1D,39593910,312,USDJPY_1D_2022_bars_with_ofi.csv
USDJPY,2023,5min,43463878,74660,USDJPY_5min_2023_bars_with_ofi.csv
USDJPY,2023,15min,43463878,24895,USDJPY_15min_2023_bars_with_ofi.csv
USDJPY,2023,30min,43463878,12448,USDJPY_30min_2023_bars_with_ofi.csv
USDJPY,2023,1H,43463878,6225,USDJPY_1H_2023_bars_with_ofi.csv
USDJPY,2023,2H,43463878,3147,USDJPY_2H_2023_bars_with_ofi.csv
USDJPY,2023,4H,43463878,1609,USDJPY_4H_2023_bars_with_ofi.csv
USDJPY,2023,8H,43463878,831,USDJPY_8H_2023_bars_with_ofi.csv
USDJPY,2023,1D,43463878,312,USDJPY_1D_2023_bars_with_ofi.csv
USDJPY,2024,5min,40969081,74962,USDJPY_5min_2024_bars_with_ofi.csv
USDJPY,2024,15min,40969081,24996,USDJPY_15min_2024_bars_with_ofi.csv
USDJPY,2024,30min,40969081,12499,USDJPY_30min_2024_bars_with_ofi.csv
USDJPY,2024,1H,40969081,6250,USDJPY_1H_2024_bars_with_ofi.csv
USDJPY,2024,2H,40969081,3159,USDJPY_2H_2024_bars_with_ofi.csv
USDJPY,2024,4H,40969081,1616,USDJPY_4H_2024_bars_with_ofi.csv
USDJPY,2024,8H,40969081,835,USDJPY_8H_2024_bars_with_ofi.csv
USDJPY,2024,1D,40969081,314,USDJPY_1D_2024_bars_with_ofi.csv
USDJPY,2025,5min,28169103,57063,USDJPY_5min_2025_bars_with_ofi.csv
USDJPY,2025,15min,28169103,19027,USDJPY_15min_2025_bars_with_ofi.csv
USDJPY,2025,30min,28169103,9514,USDJPY_30min_2025_bars_with_ofi.csv
USDJPY,2025,1H,28169103,4757,USDJPY_1H_2025_bars_with_ofi.csv
USDJPY,2025,2H,28169103,2410,USDJPY_2H_2025_bars_with_ofi.csv
USDJPY,2025,4H,28169103,1230,USDJPY_4H_2025_bars_with_ofi.csv
USDJPY,2025,8H,28169103,636,USDJPY_8H_2025_bars_with_ofi.csv
