horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,2395,-8.956403244400263,-0.7837998097219823,-0.00031702650269106416
2,2,2394,-0.7834451608241189,-0.2642626775258584,0.0007065610049402601
2,3,2395,-0.2631594655297378,0.1923061091687393,0.0002893046194754958
2,4,2394,0.1925234312459177,0.7893723192207808,0.0012447730578534308
2,5,2395,0.7894874108766793,7.592741398425906,0.001060815620470518
5,1,2394,-8.956403244400263,-0.7839539211805256,-0.0002483658164410814
5,2,2394,-0.7837998097219823,-0.2645562426197027,0.0021012834620430043
5,3,2394,-0.2642626775258584,0.191752830605077,0.0008606251224313282
5,4,2394,0.1917743553363823,0.7894874108766793,0.0018601704323107447
5,5,2394,0.7896512057511016,7.592741398425906,0.002959397957135927
10,1,2393,-8.956403244400263,-0.7842178441709315,0.0016883950843361046
10,2,2393,-0.7839539211805256,-0.2654315644731153,0.003020483110577322
10,3,2393,-0.2649235066273165,0.1910662263498841,0.002244296750622091
10,4,2393,0.1915040132808961,0.7896512057511016,0.0029564530130346454
10,5,2393,0.789817383124239,7.592741398425906,0.005008758785650551
