horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,375,-5.35402529505602,-0.7496880121782002,0.005504475692572512
2,2,374,-0.7494501090662635,-0.27185173286454256,0.0011373358074876286
2,3,375,-0.27041745806030687,0.16930623071339335,0.005815407749613929
2,4,374,0.16957653072729065,0.7489856020807263,0.0005650161670874976
2,5,375,0.7492283434775036,4.700948375325817,0.004112005076026241
5,1,374,-5.35402529505602,-0.7516995831580621,0.014445964269389452
5,2,374,-0.7496880121782002,-0.27246032332151415,0.008843294298170707
5,3,374,-0.27185173286454256,0.16899955778876838,0.015418809369685536
5,4,374,0.16930623071339335,0.7466010693727948,-0.0025727537128935876
5,5,374,0.7489856020807263,4.700948375325817,0.007463214679568555
10,1,373,-5.35402529505602,-0.7572893724230358,0.03212060307146669
10,2,373,-0.7516995831580621,-0.276531888662676,0.020128149164099912
10,3,373,-0.272699363782014,0.16298616156191703,0.028423377502017674
10,4,373,0.16372387065307037,0.7465850257354403,-0.003370843481447705
10,5,373,0.7466010693727948,4.700948375325817,0.010977895055949946
