horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,9634,-7.818056342564199,-0.7938406355312422,-0.00021710966178221534
2,2,9634,-0.793759358882346,-0.2729663656647625,0.0001961166615933901
2,3,9634,-0.2729318526229497,0.19094449692849028,0.00021849513109132432
2,4,9634,0.19099293131685063,0.7849118786828628,0.0003010359599933357
2,5,9634,0.7851839425250624,9.260164161603223,0.0002927609265848446
5,1,9634,-7.818056342564199,-0.7938406355312422,-0.0003211894309991008
5,2,9633,-0.793759358882346,-0.2729663656647625,0.0002540104617704216
5,3,9633,-0.2729318526229497,0.19094449692849028,0.0008447786220276657
5,4,9633,0.19099293131685063,0.7849118786828628,0.0004815241557705723
5,5,9634,0.7851839425250624,9.260164161603223,0.0006922514956945323
10,1,9633,-7.818056342564199,-0.7938743858519051,-0.000247864325197939
10,2,9632,-0.7938406355312422,-0.2730506845171936,0.000617497073721879
10,3,9632,-0.2729830368266638,0.19053799996435225,0.0013366235542384753
10,4,9632,0.1907687471282067,0.7851839425250624,0.0007643663044128845
10,5,9633,0.7851872373206483,9.260164161603223,0.001384046809326997
