horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,887,-4.821856873225119,-0.7612525109132617,-6.758692042652715e-06
2,2,887,-0.7610145420697478,-0.2415653953168095,0.00023767369309162713
2,3,887,-0.24112819546148243,0.17585314089749768,-8.99419363955183e-05
2,4,887,0.17601430727079917,0.6930798381972456,6.317865661115009e-05
2,5,887,0.6943326406899705,7.762358590304609,-3.161347998366128e-05
5,1,887,-4.821856873225119,-0.7612525109132617,0.00015993350589961838
5,2,886,-0.7610145420697478,-0.2415653953168095,0.0003482097273699426
5,3,886,-0.24112819546148243,0.17568851805936903,-0.0002619803278778044
5,4,886,0.17585314089749768,0.6918126812446511,5.4850621104276556e-05
5,5,887,0.6930798381972456,7.762358590304609,0.00015661211838772626
10,1,886,-4.821856873225119,-0.7621475748411393,0.0005049314789554157
10,2,885,-0.7612525109132617,-0.24244560558598643,0.0006482354432028002
10,3,885,-0.24199479637744506,0.17514896064590021,-0.0005664703413300011
10,4,885,0.17549242753500163,0.6918009886128214,0.00026877983635041457
10,5,886,0.6918126812446511,7.762358590304609,0.0001512199679335075
