horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,321,-6.915981716241448,-0.537470048992101,0.00014306113169828196
2,2,320,-0.5372938889673972,-0.1691694149520863,0.0003771298706597842
2,3,321,-0.16882097166240279,0.15361301170963587,0.0002755058745618183
2,4,320,0.15449700936443794,0.5665878225472067,0.0008679485062164695
2,5,321,0.5679168852449433,9.76780119456717,0.000682044666014641
5,1,320,-6.915981716241448,-0.5372938889673972,0.0007873147622417743
5,2,320,-0.5369025067249777,-0.16882097166240279,0.0005220119670490752
5,3,320,-0.16871988439122626,0.15361301170963587,0.001188062391474219
5,4,320,0.15449700936443794,0.5679168852449433,0.0020793461084704186
5,5,320,0.5688227832311209,9.76780119456717,0.0010961922082496258
10,1,319,-6.915981716241448,-0.5366879130070793,0.002041098770795009
10,2,319,-0.5366247486482786,-0.16698877682186636,0.0017762101965506654
10,3,319,-0.1654311783370134,0.1546881636031261,0.001937871121525778
10,4,319,0.15496536037829006,0.5688227832311209,0.004099420107514567
10,5,319,0.5693922549237257,9.76780119456717,0.0014952365612093184
