horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,319,-4.349910048082031,-0.8118934371926123,0.0012361960176463635
2,2,319,-0.8089857803498683,-0.18419204789679994,0.00030123783686893064
2,3,319,-0.18397386231637064,0.38150479892167716,0.002535872479641306
2,4,319,0.3833513428362731,1.029578966155664,0.0011827787045618572
2,5,319,1.0307551338847838,5.037561489400727,-0.00010956971586596584
5,1,319,-4.349910048082031,-0.8118934371926123,0.001905595727395786
5,2,318,-0.8089857803498683,-0.18397386231637064,0.0012042213278265898
5,3,318,-0.18330619946051535,0.3833513428362731,0.003029676313026591
5,4,318,0.38463795465130785,1.029578966155664,0.004594503889143017
5,5,319,1.0307551338847838,5.037561489400727,0.0019813856206919913
10,1,318,-4.349910048082031,-0.8118990229419006,0.006902391881822219
10,2,317,-0.8118934371926123,-0.18397386231637064,0.0006805964952481752
10,3,317,-0.18330619946051535,0.38150479892167716,0.0045014114226188465
10,4,317,0.3833513428362731,1.026148396511271,0.008332244123561658
10,5,318,1.029578966155664,5.037561489400727,0.0037714092947855457
