horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,916,-4.802116150517633,-0.8283714312318046,0.0004955612376447159
2,2,915,-0.8272436514021546,-0.23967415132794923,0.0009664711947016674
2,3,915,-0.2393451132442393,0.31280985014230905,0.0006065174697391383
2,4,915,0.3132103488406231,0.8965329300178686,0.0008066080061309713
2,5,916,0.8965806703247322,3.920373738669457,0.0003681343573446642
5,1,915,-4.802116150517633,-0.828553985417222,0.001446481274118952
5,2,915,-0.8283714312318046,-0.23967415132794923,0.0030470136446473705
5,3,914,-0.2393451132442393,0.3132103488406231,0.0019842611264799053
5,4,915,0.31332243008676147,0.8965806703247322,0.0018377813151717916
5,5,915,0.8970755641079925,3.920373738669457,-0.0001475758399414227
10,1,914,-4.802116150517633,-0.8283714312318046,0.0016525317652627213
10,2,914,-0.8272436514021546,-0.23967415132794923,0.0049120308127602015
10,3,913,-0.2393451132442393,0.3162882446616908,0.00308597950467468
10,4,914,0.31668734493596934,0.8970755641079925,0.004442591141131618
10,5,914,0.8976458677487336,3.920373738669457,0.0022645700646481077
