horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,23,-0.8559280056781629,-0.6755872588262066,0.0
2,2,22,-0.6678062827827045,-0.4888025578606885,0.0
2,3,22,-0.4809722949572592,-0.3145723187919468,0.00013860300623064708
2,4,22,-0.3067542209089554,-0.2177305314623872,0.0
2,5,23,-0.2177305314619312,3.1596378683428306,0.000535196465270473
5,1,22,-0.8559280056781629,-0.6833238141553473,0.0
5,2,22,-0.6755872588262066,-0.4965550631758548,0.0
5,3,21,-0.4888025578606885,-0.3256659538555825,0.010538147373864075
5,4,22,-0.3163586407843761,-0.2177305314623872,0.0036365952430394773
5,5,22,-0.2177305314619312,3.1596378683428306,-0.01229085508216317
10,1,21,-0.8559280056781629,-0.6911498706240917,0.0
10,2,21,-0.6833238141553473,-0.5121048297997028,0.0
10,3,20,-0.5043396377008716,-0.342183891527189,0.020380841627234546
10,4,21,-0.3347529607614122,-0.2177305314632463,-0.0003979038641528165
10,5,21,-0.2177305314619312,3.1596378683428306,-0.017478720047707917
